predictor,flux_var,pearson_r,spearman_rho,n
c1,VAR_EDDY.H,-0.06693195515885329,-0.014017815283638069,80
c1,VAR_EDDY.LE,0.3090110185658426,0.351309307752139,57
c1,VAR_EDDY.E,-0.041392882454251594,-0.01963885778275476,95
c1,VAR_EDDY.H_storage_flux,0.3387713807343329,0.37950352685838307,96
c1,VAR_EDDY.LE_storage_flux,0.4355414098258842,0.42600379815518175,96
c1,VAR_EDDY.tau,-0.7566554638989127,-0.7336786114221725,95
c1,VAR_EDDY.u_star,0.8096624978077991,0.7389557670772676,95
c1,VAR_EDDY.U,0.5299295186081885,0.45697088465845465,95
c1,VAR_EDDY.MO_length,0.4563192156103927,0.5574188129899216,95
c1,VAR_EDDY.F_c,-0.3001754633207731,-0.18406516105146242,74
c1,VAR_EDDY.CO2_storage_flux,-0.03275965364525555,-0.015246880086814976,96
c2,VAR_EDDY.H,-0.311358404741205,-0.2202062822315987,80
c2,VAR_EDDY.LE,-0.23864705088349084,-0.42046927663987554,57
c2,VAR_EDDY.E,0.017387984981605896,-0.07925531914893617,95
c2,VAR_EDDY.H_storage_flux,-0.13692358209325736,-0.2906266956049919,96
c2,VAR_EDDY.LE_storage_flux,-0.27713951029514966,-0.32008952794357026,96
c2,VAR_EDDY.tau,0.6845043024992383,0.6664473684210527,95
c2,VAR_EDDY.u_star,-0.6753096726177048,-0.6697088465845464,95
c2,VAR_EDDY.U,-0.4854750249931755,-0.4585806270996641,95
c2,VAR_EDDY.MO_length,-0.424357394897402,-0.46482362821948486,95
c2,VAR_EDDY.F_c,0.4055588627695274,0.19262495372084412,74
c2,VAR_EDDY.CO2_storage_flux,-0.06341954447391776,-0.032202930005425935,96
c3,VAR_EDDY.H,0.2572390976689973,0.29854664791373653,80
c3,VAR_EDDY.LE,-0.276500229341534,-0.3022426756546539,57
c3,VAR_EDDY.E,0.05913336203087565,-0.010624300111982083,95
c3,VAR_EDDY.H_storage_flux,-0.5454226261375898,-0.5656131307650569,96
c3,VAR_EDDY.LE_storage_flux,-0.5600997026750968,-0.5199131850244167,96
c3,VAR_EDDY.tau,0.5373853056224002,0.6710526315789473,95
c3,VAR_EDDY.u_star,-0.583022427744042,-0.6745660694288914,95
c3,VAR_EDDY.U,-0.4223166571291839,-0.47229843225083984,95
c3,VAR_EDDY.MO_length,-0.34589344128031213,-0.5933230683090706,95
c3,VAR_EDDY.F_c,0.19912114592211066,0.06028878193261755,74
c3,VAR_EDDY.CO2_storage_flux,0.13020201212691518,0.09617471513836137,96
c4,VAR_EDDY.H,0.35091108795884557,0.35215658696671354,80
c4,VAR_EDDY.LE,-0.28034705332873167,-0.32175265750583354,57
c4,VAR_EDDY.E,-0.019038731257455577,-0.04687849944008959,95
c4,VAR_EDDY.H_storage_flux,-0.5554655587824083,-0.5652875746066196,96
c4,VAR_EDDY.LE_storage_flux,-0.5540645170398888,-0.5858654367878459,96
c4,VAR_EDDY.tau,0.7344276399585943,0.8722564389697648,95
c4,VAR_EDDY.u_star,-0.7916394772295212,-0.873124300111982,95
c4,VAR_EDDY.U,-0.6681577324502492,-0.7302631578947368,95
c4,VAR_EDDY.MO_length,-0.4421290827369989,-0.6859742441209407,95
c4,VAR_EDDY.F_c,0.11969991395828201,-0.1023176601258793,74
c4,VAR_EDDY.CO2_storage_flux,0.1405570144988817,0.08689636462289745,96
shape_ratio,VAR_EDDY.H,0.1389617378238134,0.3103141115799344,80
shape_ratio,VAR_EDDY.LE,-0.10416041982605283,-0.04083484573502722,57
shape_ratio,VAR_EDDY.E,-0.023414367565331263,-0.019652855543113103,95
shape_ratio,VAR_EDDY.H_storage_flux,-0.23700264733365775,-0.5185973955507325,96
shape_ratio,VAR_EDDY.LE_storage_flux,-0.36089292268372897,-0.5913863266413456,96
shape_ratio,VAR_EDDY.tau,0.14833538421174966,0.4644736842105263,95
shape_ratio,VAR_EDDY.u_star,-0.1341042638435714,-0.46688129899216124,95
shape_ratio,VAR_EDDY.U,-0.1698409537645165,-0.5109182530795073,95
shape_ratio,VAR_EDDY.MO_length,-0.15093914171889278,-0.5611702127659575,95
shape_ratio,VAR_EDDY.F_c,-0.02641179132594564,-0.07663828211773417,74
shape_ratio,VAR_EDDY.CO2_storage_flux,0.10051625560545595,0.06669831795984807,96
