VAR_EDDY.Qc_tau,VAR_EDDY.MO_length,VAR_EDDY.u_star,VAR_EDDY.wind_dir,VAR_EDDY.U,VAR_EDDY.tau,datetime,season_year,season_date,target_doy,group_name
0,1110.365,0.61012,337.08,2.91378,-0.457,2024-12-31T00:00:00.0,2024,2024-12-31,366,momentum_flux
0,-521.5467,0.42668,330.16,1.87868,-0.2234,2024-12-31T00:30:00.0,2024,2024-12-31,366,momentum_flux
0,-899.4318,0.34893,295.34,2.1938,-0.14953,2024-12-31T01:00:00.0,2024,2024-12-31,366,momentum_flux
0,-10265.61,0.60861,304.31,3.42559,-0.4547,2024-12-31T01:30:00.0,2024,2024-12-31,366,momentum_flux
0,-4933.557,0.75819,305.52,4.26166,-0.70518,2024-12-31T02:00:00.0,2024,2024-12-31,366,momentum_flux
0,-4334.885,0.83064,303.62,4.6547,-0.84674,2024-12-31T02:30:00.0,2024,2024-12-31,366,momentum_flux
0,-2756.874,0.78797,300.97,4.14324,-0.76241,2024-12-31T03:00:00.0,2024,2024-12-31,366,momentum_flux
0,-3045.482,0.86457,303.3,4.56471,-0.91796,2024-12-31T03:30:00.0,2024,2024-12-31,366,momentum_flux
0,-8178.6,0.87715,307.49,4.76566,-0.94513,2024-12-31T04:00:00.0,2024,2024-12-31,366,momentum_flux
0,8552.849,0.85649,306.24,4.27403,-0.90249,2024-12-31T04:30:00.0,2024,2024-12-31,366,momentum_flux
0,-17213.55,0.80037,300.77,4.16649,-0.78879,2024-12-31T05:00:00.0,2024,2024-12-31,366,momentum_flux
0,-37309.64,0.69096,301.34,4.11243,-0.58781,2024-12-31T05:30:00.0,2024,2024-12-31,366,momentum_flux
0,-5358.213,0.77998,304.3,4.4497,-0.74874,2024-12-31T06:00:00.0,2024,2024-12-31,366,momentum_flux
0,-4518.801,0.87962,308.81,4.32946,-0.95161,2024-12-31T06:30:00.0,2024,2024-12-31,366,momentum_flux
0,-5089.866,0.80465,315.16,4.11698,-0.79589,2024-12-31T07:00:00.0,2024,2024-12-31,366,momentum_flux
0,-5246.951,0.73446,326.73,3.62404,-0.66295,2024-12-31T07:30:00.0,2024,2024-12-31,366,momentum_flux
0,-2325.196,0.47666,331.08,2.25425,-0.27927,2024-12-31T08:00:00.0,2024,2024-12-31,366,momentum_flux
0,-3938.86,0.50334,340.79,2.54523,-0.31129,2024-12-31T08:30:00.0,2024,2024-12-31,366,momentum_flux
0,18676.45,0.53296,343.34,2.57183,-0.3488,2024-12-31T09:00:00.0,2024,2024-12-31,366,momentum_flux
0,-3979.309,0.48137,341.65,2.55654,-0.2845,2024-12-31T09:30:00.0,2024,2024-12-31,366,momentum_flux
0,-3222.122,0.41023,336.36,1.92071,-0.20656,2024-12-31T10:00:00.0,2024,2024-12-31,366,momentum_flux
0,-9419.456,0.50804,336.77,2.41994,-0.31632,2024-12-31T10:30:00.0,2024,2024-12-31,366,momentum_flux
0,2898.969,0.41484,336.67,2.29282,-0.2106,2024-12-31T11:00:00.0,2024,2024-12-31,366,momentum_flux
0,718.5612,0.43266,333.83,2.15564,-0.2286,2024-12-31T11:30:00.0,2024,2024-12-31,366,momentum_flux
0,1006.632,0.42018,326.14,2.37604,-0.21534,2024-12-31T12:00:00.0,2024,2024-12-31,366,momentum_flux
0,732.204,0.48301,311.7,2.58339,-0.28448,2024-12-31T12:30:00.0,2024,2024-12-31,366,momentum_flux
0,1292.029,0.45674,309.85,2.41655,-0.2545,2024-12-31T13:00:00.0,2024,2024-12-31,366,momentum_flux
0,2419.113,0.51867,305.5,2.8791,-0.32856,2024-12-31T13:30:00.0,2024,2024-12-31,366,momentum_flux
0,-1594.064,0.51084,315.87,2.65042,-0.31918,2024-12-31T14:00:00.0,2024,2024-12-31,366,momentum_flux
0,-2164.914,0.42842,310.46,2.64574,-0.22481,2024-12-31T14:30:00.0,2024,2024-12-31,366,momentum_flux
0,-2416.0,0.42572,309.22,2.54197,-0.22226,2024-12-31T15:00:00.0,2024,2024-12-31,366,momentum_flux
0,26127.38,0.4692,306.45,2.90712,-0.27042,2024-12-31T15:30:00.0,2024,2024-12-31,366,momentum_flux
0,-3691.714,0.49856,301.45,2.65755,-0.30578,2024-12-31T16:00:00.0,2024,2024-12-31,366,momentum_flux
0,-3831.515,0.52926,297.17,3.11263,-0.34488,2024-12-31T16:30:00.0,2024,2024-12-31,366,momentum_flux
0,-1798.748,0.47833,296.68,2.44254,-0.28188,2024-12-31T17:00:00.0,2024,2024-12-31,366,momentum_flux
0,4148.144,0.45486,286.65,2.53457,-0.255,2024-12-31T17:30:00.0,2024,2024-12-31,366,momentum_flux
0,1474.099,0.49458,281.84,3.09105,-0.30152,2024-12-31T18:00:00.0,2024,2024-12-31,366,momentum_flux
0,-5604.763,0.68773,281.14,3.54528,-0.58343,2024-12-31T18:30:00.0,2024,2024-12-31,366,momentum_flux
0,-2746.26,0.61847,281.4,3.22386,-0.47209,2024-12-31T19:00:00.0,2024,2024-12-31,366,momentum_flux
0,12695.48,0.55822,280.37,3.28278,-0.38471,2024-12-31T19:30:00.0,2024,2024-12-31,366,momentum_flux
0,-3457.607,0.66818,278.62,3.56336,-0.55146,2024-12-31T20:00:00.0,2024,2024-12-31,366,momentum_flux
0,-3297.378,0.67319,274.99,3.55015,-0.55999,2024-12-31T20:30:00.0,2024,2024-12-31,366,momentum_flux
0,-553905.7,0.60556,270.03,3.65708,-0.45323,2024-12-31T21:00:00.0,2024,2024-12-31,366,momentum_flux
0,-1544.153,0.80162,273.38,4.31468,-0.79516,2024-12-31T21:30:00.0,2024,2024-12-31,366,momentum_flux
0,-2077.592,0.84254,274.81,4.51069,-0.87919,2024-12-31T22:00:00.0,2024,2024-12-31,366,momentum_flux
0,-2725.583,0.80454,273.61,4.64397,-0.80197,2024-12-31T22:30:00.0,2024,2024-12-31,366,momentum_flux
0,4068.849,0.67004,268.18,4.09249,-0.55716,2024-12-31T23:00:00.0,2024,2024-12-31,366,momentum_flux
0,1965.506,0.6993,264.32,4.38721,-0.6081,2024-12-31T23:30:00.0,2024,2024-12-31,366,momentum_flux
