zeta_mid,phi_med,phi_mean,n
0.003676618722560461,0.8830650672029016,0.8949921794234503,38
0.006977316647922709,0.8995024987703623,0.9093818715181862,38
0.00955310745591394,0.8896896118972977,0.9502235255212851,38
0.011966360573728917,0.890384103533773,0.921749494614764,38
0.01500582483838529,0.9193288679733783,0.9088276929173287,38
0.01812590123199307,0.9426519141709123,0.9542536164755896,38
0.020535087676318776,0.9476871775692302,0.9840055650032667,38
0.022874098007174853,0.942330928903727,0.9623839456731758,38
0.025034808114851634,0.9508887566083951,0.9436433545880661,38
0.027455214326489275,0.9861919658949221,1.023369591712217,38
0.03043857811264924,1.0461063492532767,1.0367930758752713,38
0.03369728849309708,1.0475886362426925,1.1731021219011426,38
0.036519827542736916,1.0538038275271755,1.0852782576367719,38
0.039399928332550335,1.0400341212058233,1.3272062699885097,38
0.04317779706818479,1.086475435092074,1.143803113992236,38
0.04749531633759467,1.0647672097749585,1.0731539081197632,38
0.051976296115175485,1.1135201493014582,1.1129879045880269,38
0.05609762294345276,1.1212224405572422,1.126334153408026,38
0.06062914468314123,1.1206693068718483,1.1846237078624344,38
0.0656471531862945,1.1649972783923586,1.1670131170405937,38
0.07120047157560228,1.171157970468954,1.2261764033077482,38
0.0774516781684168,1.2113712046660225,1.2473639224384667,38
0.08424259003638025,1.2525565484079357,1.3073521043608503,38
0.09194858142722126,1.2819794664829363,1.2818939863283119,37
0.10135453007782766,1.2881535835005147,1.2953603084324725,38
0.11160070178400333,1.3999044661800342,1.4570837152993381,38
0.12178112824276581,1.481445527158602,1.4947372047008265,38
0.13276189561210122,1.4929524290041054,1.5198872064412912,38
0.14612469137785103,1.6076079750889027,1.5908210901328779,38
0.15902840158991888,1.5438185512936626,1.613383043117001,38
0.17215343400376137,1.7358005505398904,1.7077367550014528,38
0.19073792644185233,1.7772032733146093,1.7324469669889229,38
0.20987532867711883,1.8575454474378295,1.8604237783160995,38
0.22932446164715087,1.857760164238376,1.8597961524589064,38
0.25155548611792944,1.9404589679324449,1.9610851764248212,38
0.28042765676385395,2.0973376907509573,2.0487105987618515,38
0.3168219862476729,2.2579426830442504,2.261945814514379,38
0.36158975857226494,2.449216604114169,2.5253669219762327,38
0.4167286917668781,2.4395948131576706,2.4312239321050773,38
0.4695965850040791,2.727336655861408,2.7168621916002467,38
0.5263152847266221,2.9206486421957116,3.0066805830768346,38
0.6185873034973794,3.215326819468001,3.286364807948887,38
0.7473466332246088,3.3015806879990146,3.4025697286036958,38
0.9225333326908429,3.664537018956125,3.6752022253971455,38
1.1467719321650836,4.485797159782948,4.7431396280333376,38
1.4630425003772212,4.598435521087509,5.091541168783898,38
1.9416032267735557,5.7298949580652465,5.7802449509626515,38
4.997468458186009,6.493124588355164,7.201062509976802,38
