mode,coeff,coeff_trunc,abs_coeff
0,12.902536580431986,12.902536580431986,12.902536580431986
1,-6.941454635554082,-6.941454635554082,6.941454635554082
2,3.770227652748194,3.770227652748194,3.770227652748194
3,-2.5453078101256033,-2.5453078101256033,2.5453078101256033
4,1.7517006881588513,1.7517006881588513,1.7517006881588513
5,-1.4637157918005728,-1.4637157918005728,1.4637157918005728
6,1.0969811163276837,1.0969811163276837,1.0969811163276837
7,-0.8319782964101247,-0.8319782964101247,0.8319782964101247
8,0.7208910094124813,0.0,0.7208910094124813
9,-0.6276476022220739,0.0,0.6276476022220739
10,0.5582296430489401,0.0,0.5582296430489401
11,-0.4695818734434055,0.0,0.4695818734434055
12,0.35933771878874243,0.0,0.35933771878874243
13,-0.3234110742562768,0.0,0.3234110742562768
14,0.24448045902810103,0.0,0.24448045902810103
15,-0.19950878704238612,0.0,0.19950878704238612
16,0.20151818760644966,0.0,0.20151818760644966
17,-0.1697161073712219,0.0,0.1697161073712219
18,0.2102646286198629,0.0,0.2102646286198629
19,-0.1083803608890271,0.0,0.1083803608890271
20,0.040920155587511026,0.0,0.040920155587511026
21,-0.041906700612096316,0.0,0.041906700612096316
22,0.0710009888557219,0.0,0.0710009888557219
23,-0.1450136485260475,0.0,0.1450136485260475
24,0.13230027665877525,0.0,0.13230027665877525
25,-0.15278916769210896,0.0,0.15278916769210896
26,0.1504757285117486,0.0,0.1504757285117486
27,-0.14175829132769208,0.0,0.14175829132769208
28,0.11851997075230103,0.0,0.11851997075230103
29,-0.09604389214953024,0.0,0.09604389214953024
30,0.06531756565771761,0.0,0.06531756565771761
31,-0.044313242425053356,0.0,0.044313242425053356
32,-0.021652502270619767,0.0,0.021652502270619767
33,0.016837235382081744,0.0,0.016837235382081744
34,0.0018181571644029593,0.0,0.0018181571644029593
35,0.035081929117276985,0.0,0.035081929117276985
36,-0.09561681627415258,0.0,0.09561681627415258
37,0.10287732101199992,0.0,0.10287732101199992
38,-0.10294402491551108,0.0,0.10294402491551108
39,0.11026936408807893,0.0,0.11026936408807893
40,-0.12479785807325759,0.0,0.12479785807325759
41,0.16928192251495874,0.0,0.16928192251495874
42,-0.15622345259459913,0.0,0.15622345259459913
43,0.045192825985921455,0.0,0.045192825985921455
44,0.0018572697756983213,0.0,0.0018572697756983213
45,0.006156183638533275,0.0,0.006156183638533275
46,-0.0105138174360707,0.0,0.0105138174360707
47,0.03551890784500054,0.0,0.03551890784500054
